variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'scientific_alchemical', 'geographical', 'geographical',
       'geographical', 'geographical', 'mythological', 'geographical',
       'geographical', 'geographical', 'mythological', 'philosophical',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'geographical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'mythological', 'medical_anatomical', 'poetic',
       'mythological', 'mythological', 'mythological', 'poetic',
       'mythological', 'poetic', 'medical_anatomical', 'philosophical',
       'philosophical', 'philosophical', 'geographical', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'metaphorical_general', 'mythological',
       'mythological', 'geographical', 'mythological',
       'medical_anatomical', 'astronomical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'geographical', 'geographical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'scientific_alchemical', 'astronomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'philosophical',
       'philosophical', 'philosophical', 'philosophical', 'philosophical',
       'philosophical', 'mythological', 'philosophical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'geographical', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'mythological', 'poetic', 'philosophical',
       'mythological', 'geographical', 'mythological', 'philosophical',
       'geographical', 'geographical', 'geographical', 'geographical',
       'medical_anatomical', 'mythological', 'geographical',
       'mythological', 'geographical', 'geographical', 'mythological',
       'mythological', 'mythological', 'metaphorical_general', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'geographical', 'geographical',
       'metaphorical_general', 'mythological', 'mythological',
       'geographical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'scientific_alchemical', 'geographical', 'mythological',
       'mythological', 'mythological', 'mythological', 'poetic',
       'geographical', 'mythological', 'geographical', 'mythological',
       'geographical', 'mythological', 'poetic', 'mythological',
       'scientific_alchemical', 'geographical', 'mythological',
       'geographical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'geographical', 'geographical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'mythological', 'mythological', 'poetic', 'mythological',
       'mythological', 'philosophical', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'mythological', 'poetic', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'scientific_alchemical', 'mythological', 'metaphorical_general',
       'geographical', 'astronomical', 'geographical', 'mythological',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'philosophical', 'mythological', 'poetic',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'mythological', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'geographical', 'mythological', 'mythological', 'geographical',
       'mythological', 'geographical', 'medical_anatomical',
       'geographical', 'philosophical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'geographical', 'metaphorical_general', 'medical_anatomical',
       'geographical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'geographical',
       'geographical', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'philosophical',
       'philosophical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'scientific_alchemical', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'scientific_alchemical', 'geographical',
       'geographical', 'mythological', 'medical_anatomical',
       'philosophical', 'scientific_alchemical', 'poetic',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'philosophical',
       'geographical', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'poetic', 'geographical', 'medical_anatomical', 'geographical',
       'mythological', 'metaphorical_general', 'metaphorical_general'],
      dtype=object), array(['metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'philosophical', 'metaphorical_general',
       'geographical', 'scientific_alchemical', 'spiritual_religious',
       'metaphorical_general', 'philosophical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'geographical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'poetic', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'poetic', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'mythological', 'poetic', 'mythological', 'mythological',
       'mythological', 'mythological', 'geographical', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'geographical', 'medical_anatomical',
       'philosophical', 'geographical', 'geographical', 'philosophical',
       'philosophical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'geographical', 'mythological', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'geographical', 'geographical', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'geographical',
       'mythological', 'geographical', 'geographical', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'geographical',
       'mythological', 'geographical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'poetic', 'geographical',
       'mythological', 'mythological', 'geographical', 'mythological',
       'metaphorical_general', 'poetic', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'mythological', 'philosophical', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'philosophical', 'poetic',
       'mythological', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'poetic', 'poetic', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'poetic', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'philosophical', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'mythological',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'poetic', 'philosophical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'philosophical', 'geographical',
       'mythological', 'metaphorical_general', 'scientific_alchemical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'philosophical', 'philosophical', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'philosophical', 'philosophical', 'geographical', 'geographical',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'philosophical', 'mythological',
       'medical_anatomical', 'scientific_alchemical',
       'scientific_alchemical', 'mythological', 'geographical',
       'mythological', 'mythological', 'geographical', 'mythological',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'medical_anatomical', 'poetic', 'philosophical',
       'scientific_alchemical', 'scientific_alchemical', 'philosophical',
       'mythological', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'philosophical', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'mythological',
       'scientific_alchemical', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'poetic', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'mythological', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical', 'mythological',
       'scientific_alchemical', 'medical_anatomical',
       'scientific_alchemical', 'metaphorical_general',
       'scientific_alchemical', 'geographical', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'mythological',
       'geographical', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'philosophical', 'poetic', 'geographical', 'philosophical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'scientific_alchemical', 'philosophical',
       'mythological', 'philosophical', 'medical_anatomical',
       'metaphorical_general', 'poetic', 'mythological', 'mythological',
       'poetic', 'mythological', 'medical_anatomical', 'poetic', 'poetic',
       'philosophical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'philosophical', 'scientific_alchemical', 'metaphorical_general',
       'poetic', 'astronomical', 'geographical', 'geographical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'philosophical', 'philosophical', 'philosophical',
       'medical_anatomical', 'philosophical', 'philosophical',
       'astronomical', 'geographical', 'philosophical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'mythological', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'mythological', 'scientific_alchemical', 'geographical',
       'geographical', 'mythological', 'geographical', 'mythological',
       'geographical', 'geographical', 'medical_anatomical',
       'mythological', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'mythological',
       'geographical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'geographical',
       'medical_anatomical', 'mythological', 'poetic', 'mythological',
       'poetic', 'mythological', 'poetic', 'poetic', 'medical_anatomical',
       'philosophical', 'scientific_alchemical', 'philosophical',
       'geographical', 'philosophical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'mythological', 'mythological',
       'geographical', 'mythological', 'medical_anatomical',
       'astronomical', 'mythological', 'philosophical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'geographical', 'mythological', 'mythological',
       'metaphorical_general', 'geographical', 'geographical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical', 'astronomical',
       'poetic', 'geographical', 'scientific_alchemical', 'philosophical',
       'philosophical', 'philosophical', 'philosophical', 'philosophical',
       'philosophical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'philosophical', 'astronomical', 'geographical',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'philosophical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'philosophical', 'mythological',
       'astronomical', 'mythological', 'metaphorical_general',
       'mythological', 'geographical', 'geographical', 'geographical',
       'poetic', 'poetic', 'geographical', 'mythological', 'mythological',
       'geographical', 'geographical', 'geographical', 'mythological',
       'metaphorical_general', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'geographical', 'geographical', 'poetic', 'mythological',
       'geographical', 'geographical', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'mythological',
       'geographical', 'geographical', 'geographical', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'mythological', 'geographical', 'mythological', 'geographical',
       'mythological', 'poetic', 'mythological', 'spiritual_religious',
       'geographical', 'mythological', 'geographical', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'mythological', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'mythological', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'geographical', 'scientific_alchemical', 'poetic',
       'geographical', 'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'poetic',
       'scientific_alchemical', 'mythological', 'metaphorical_general',
       'geographical', 'philosophical', 'geographical',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'mythological', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'mythological',
       'medical_anatomical', 'mythological', 'mythological',
       'medical_anatomical', 'mythological', 'mythological',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'geographical', 'geographical', 'medical_anatomical',
       'geographical', 'mythological', 'geographical',
       'medical_anatomical', 'geographical', 'philosophical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'geographical', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'geographical', 'geographical', 'philosophical',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'geographical', 'philosophical', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'metaphorical_general',
       'poetic', 'scientific_alchemical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'scientific_alchemical', 'geographical', 'geographical',
       'mythological', 'medical_anatomical', 'philosophical',
       'scientific_alchemical', 'poetic', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'philosophical', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'medical_anatomical'], dtype=object), array(['metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'spiritual_religious', 'metaphorical_general',
       'medical_anatomical', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'philosophical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'poetic', 'mythological', 'mythological', 'philosophical',
       'metaphorical_general', 'mythological', 'scientific_alchemical',
       'spiritual_religious', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'mythological', 'geographical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'astronomical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'geographical', 'mythological', 'mythological',
       'philosophical', 'geographical', 'mythological', 'geographical',
       'medical_anatomical', 'philosophical', 'geographical',
       'geographical', 'philosophical', 'philosophical', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'geographical', 'mythological', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'mythological', 'geographical', 'metaphorical_general',
       'mythological', 'mythological', 'philosophical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'mythological', 'geographical',
       'geographical', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'geographical', 'mythological', 'geographical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'poetic', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'mythological', 'poetic', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'philosophical', 'poetic', 'mythological', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'poetic', 'poetic', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'philosophical', 'philosophical', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'philosophical', 'mythological', 'metaphorical_general',
       'mythological', 'philosophical', 'metaphorical_general',
       'philosophical', 'mythological', 'philosophical',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'geographical', 'philosophical',
       'geographical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological', 'philosophical',
       'mythological', 'philosophical', 'philosophical', 'mythological',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical', 'philosophical',
       'geographical', 'poetic', 'scientific_alchemical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'philosophical',
